time,空氣流量計 (g/sec),轉速 (rpm),引擎負荷 (%),節氣門位置 (%),里程(km),時速(km/h)
11:38 AM,3.16,750,31.37,3.92,,0
11:38 AM,3,750,31.37,3.92,48,0
11:38 AM,3.07,750,31.37,4.31,48,0
11:38 AM,3.04,750,31.37,3.92,48,0
11:38 AM,3.31,750,31.37,3.92,48,0
11:38 AM,3.21,750,31.37,4.31,48,0
11:38 AM,3.01,750,31.37,3.92,48,0
11:38 AM,3.17,762,30.98,3.92,48,0
11:38 AM,3.14,750,31.37,3.92,48,0
11:38 AM,3.32,750,31.37,3.92,48,0
11:38 AM,3.1,762,31.37,4.31,48,0
11:38 AM,3.04,750,31.37,3.92,48,0
11:38 AM,3.04,750,31.37,3.92,48,0
11:38 AM,3.28,750,31.37,4.31,48,0
11:38 AM,3.24,750,31.37,3.92,48,0
11:38 AM,3.03,762,31.37,3.92,48,0
11:38 AM,3.15,750,31.37,3.92,48,0
11:38 AM,3.34,750,31.37,4.31,48,0
11:38 AM,3.13,750,31.37,4.31,48,0
11:38 AM,3.02,750,31.37,3.92,48,0
11:38 AM,3.27,750,31.37,4.31,48,0
11:38 AM,3.27,750,31.37,3.92,48,0
11:38 AM,3.26,750,31.37,4.31,48,0
11:38 AM,3.04,750,31.37,4.31,48,0
11:38 AM,3.02,762,31.37,4.31,48,0
11:38 AM,3.17,762,31.37,4.31,48,0
11:38 AM,3.05,762,31.37,4.31,48,0
11:38 AM,3.28,762,31.37,4.31,48,0
11:38 AM,3.21,762,31.37,3.92,48,0
11:38 AM,3.18,762,31.37,3.92,48,0
11:38 AM,3,750,31.37,3.92,48,0
11:38 AM,3.2,762,31.37,3.92,48,0
11:38 AM,3.28,750,31.37,3.92,48,0
11:38 AM,3.28,750,31.37,4.31,48,0
11:38 AM,3.28,750,31.37,3.92,48,0
11:38 AM,3.3,762,31.37,3.92,48,0
11:38 AM,3.32,762,31.37,3.92,48,0
11:38 AM,3.16,750,31.37,3.92,48,0
11:38 AM,3.07,762,30.98,3.92,48,0
11:38 AM,3.06,750,30.98,3.92,48,0
11:38 AM,3.05,762,30.98,3.92,48,0
11:38 AM,3.3,762,30.98,4.31,48,0
11:38 AM,3.2,750,31.37,4.31,48,0
11:38 AM,3.03,750,31.37,4.31,48,0
11:38 AM,3.16,750,31.37,4.31,48,0
11:38 AM,3.3,750,31.37,4.31,48,0
11:38 AM,3.09,762,31.37,3.92,48,0
11:38 AM,3.04,750,31.37,3.92,48,0
11:38 AM,3.28,762,31.37,3.92,48,0
11:38 AM,3.18,750,31.37,3.92,48,0
11:38 AM,3.3,750,31.37,3.92,48,0
11:38 AM,3.09,750,30.98,3.92,48,0
11:38 AM,3.02,750,31.37,3.92,48,0
11:38 AM,3.08,750,31.37,3.92,48,0
11:38 AM,3.02,750,30.98,3.92,48,0
11:38 AM,3.11,750,30.98,3.92,48,0
11:38 AM,3.31,750,31.37,4.31,48,0
11:38 AM,3.21,762,31.37,3.92,48,0
11:38 AM,3,750,30.98,3.92,48,0
11:38 AM,3.27,762,30.98,3.92,48,0
11:38 AM,3.31,750,30.98,3.92,48,0
11:38 AM,3.07,750,31.37,3.92,48,0
11:38 AM,3.18,762,30.98,3.92,48,0
11:38 AM,2.99,750,30.98,3.92,48,0
11:38 AM,3.07,762,31.37,3.92,48,0
11:38 AM,3.07,750,30.98,3.92,48,0
11:38 AM,3.03,750,30.98,3.92,48,0
11:38 AM,3.25,750,30.98,3.92,48,0
11:38 AM,3.19,750,30.98,3.92,48,0
11:38 AM,2.98,750,30.98,3.92,48,0
11:38 AM,3.1,750,30.98,3.92,48,0
11:38 AM,3.27,750,30.98,3.92,48,0
11:38 AM,3.1,750,30.98,3.92,48,0
11:38 AM,2.99,750,30.98,3.92,48,0
11:38 AM,3.13,737,30.98,3.92,48,0
11:38 AM,3.26,737,30.98,3.92,48,0
11:38 AM,3.1,737,31.37,3.92,48,0
11:38 AM,2.97,750,31.37,3.92,48,0
11:38 AM,3.04,750,31.37,3.92,48,0
11:38 AM,3.26,737,31.37,3.92,48,0
11:38 AM,3.11,750,31.37,3.92,48,0
11:38 AM,3.31,750,31.37,3.92,48,0
11:38 AM,3.32,750,31.37,3.92,48,0
11:38 AM,3.16,750,31.37,4.31,48,0
